GraphRAG Ground Truth Dataset - COURSES AI,,,,,,,,,,,,
x Bắt buộc điền | v Tuỳ chọn (để trống nếu không có) | Mỗi hàng = 1 test case,,,,,,,,,,,,
x id,x query,x query_type,x ground_truth_answer,x gold_entities,x relevant_node_ids,v gold_path,v gold_hop_count,v expected_communities,v source_document,v annotator,v notes,
"VD: q001, q002",Câu hỏi thực tế,single_hop | multi_hop | global,Đáp án chuẩn đầy đủ,Entity1; Entity2; Entity3 (ngăn cách bởi ;),node_id1; node_id2 (từ graph của nhóm),"A; B; C (thứ tự hop, để trống nếu global)",Số hop (= số phần tử gold_path - 1),community1; community2 (chỉ dùng cho global),Tài liệu / paper nguồn,Tên người tạo case,Ghi chú thêm,
q001,Học ngành công nghệ thông tin ra trường làm gì?,single_hop,"Học ngành CÔNG NGHỆ THÔNG TIN (mã ngành: 7480201) ra trường, bạn có thể làm các nghề nghiệp như:
- LẬP TRÌNH VIÊN
- KỸ SƯ PHẦN MỀM
- KIỂM THỬ TỰ ĐỘNG
- CHUYÊN VIÊN PHÂN TÍCH DỮ LIỆU
- KỸ SƯ CẦU NỐI
- LẬP TRÌNH GAME
- TESTER",KIỂM THỬ TỰ ĐỘNG; DATA ANALYST; TESTER; KỸ SƯ PHẦN MỀM; KỸ SƯ CẦU NỐI; LẬP TRÌNH GAME; LẬP TRÌNH VIÊN; LẬP TRÌNH NHÚNG; KHÓA LUẬN TỐT NGHIỆP; KHOA HỌC MÁY TÍNH; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; CÔNG NGHỆ THÔNG TIN; TIẾNG ANH CHUYÊN NGÀNH; MẠNG KẾT NỐI VẠN VẬT; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; HỆ QUẢN TRỊ CƠ SỞ DỮ LIỆU; LẬP TRÌNH HƯỚNG ĐỐI TƯỢNG; QUẢN LÝ DỰ ÁN CÔNG NGHỆ THÔNG TIN; KHÓA LUẬN TỐT NGHIỆP NGÀNH CÔNG NGHỆ THÔNG TIN,4:faea6990-b4df-4778-b420-d71faa741085:215; 4:faea6990-b4df-4778-b420-d71faa741085:241; 4:faea6990-b4df-4778-b420-d71faa741085:330; 4:faea6990-b4df-4778-b420-d71faa741085:293; 4:faea6990-b4df-4778-b420-d71faa741085:284; 4:faea6990-b4df-4778-b420-d71faa741085:301; 4:faea6990-b4df-4778-b420-d71faa741085:119; 4:faea6990-b4df-4778-b420-d71faa741085:309; 4:faea6990-b4df-4778-b420-d71faa741085:2615; 4:faea6990-b4df-4778-b420-d71faa741085:105; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:89; 4:faea6990-b4df-4778-b420-d71faa741085:8; 4:faea6990-b4df-4778-b420-d71faa741085:20; 4:faea6990-b4df-4778-b420-d71faa741085:90; 4:faea6990-b4df-4778-b420-d71faa741085:4; 4:faea6990-b4df-4778-b420-d71faa741085:94; 4:faea6990-b4df-4778-b420-d71faa741085:19; 4:faea6990-b4df-4778-b420-d71faa741085:461,KIỂM THỬ TỰ ĐỘNG; DATA ANALYST; TESTER; KỸ SƯ PHẦN MỀM; KỸ SƯ CẦU NỐI; LẬP TRÌNH GAME; LẬP TRÌNH VIÊN; LẬP TRÌNH NHÚNG; KHÓA LUẬN TỐT NGHIỆP; KHOA HỌC MÁY TÍNH; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; CÔNG NGHỆ THÔNG TIN; TIẾNG ANH CHUYÊN NGÀNH; MẠNG KẾT NỐI VẠN VẬT; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; HỆ QUẢN TRỊ CƠ SỞ DỮ LIỆU; LẬP TRÌNH HƯỚNG ĐỐI TƯỢNG; QUẢN LÝ DỰ ÁN CÔNG NGHỆ THÔNG TIN; KHÓA LUẬN TỐT NGHIỆP NGÀNH CÔNG NGHỆ THÔNG TIN,,,CUR-CTĐT ngành Công nghệ thông tin,Quybui,"Các nodes có label ""CAREER"" gần với node ""CÔNG NGHỆ THÔNG TIN""",
q002,"Dạ em hiện tại đang là sinh viên năm 3 ngành HTTT, em có định hướng DA thì hiện tại em nên trang bị cho mình những kĩ năng gì ạ, em cảm ơn ạ.",global,"Để định hướng vào lĩnh vực Data Analyst (DA), bạn nên trang bị cho mình những kỹ năng sau:
1. Kỹ năng giao tiếp - Đây là kỹ năng quan trọng để bạn có thể truyền đạt thông tin và kết quả phân tích đến các bên liên quan.
2. Phân tích dữ liệu - Kỹ năng này giúp bạn hiểu và xử lý dữ liệu một cách hiệu quả.
3. Kỹ năng thiết kế và trình bày báo cáo - Bạn cần biết cách tạo ra các báo cáo trực quan và dễ hiểu từ dữ liệu.
4. Kỹ năng phân tích logic - Giúp bạn tư duy và giải quyết vấn đề một cách hiệu quả.
5. Cần biết sử dụng SQL - Kỹ năng này rất cần thiết để truy vấn và quản lý cơ sở dữ liệu.
6. Cần biết sử dụng các công cụ liên quan đến thiết kế, xây dựng kho dữ liệu - Điều này giúp bạn trong việc lưu trữ và xử lý dữ liệu.
7. Có kiến thức, sử dụng được những công cụ chuyên dụng như Hadoop, Kafka - Đây là những công cụ phổ biến trong phân tích dữ liệu lớn.
8. Có kinh nghiệm liên quan đến kho dữ liệu, các công cụ phân tích - Kinh nghiệm thực tế sẽ giúp bạn tự tin hơn trong công việc.
9. Có kinh nghiệm liên quan đến các giải pháp BI và ETL - Điều này rất hữu ích trong việc chuyển đổi và phân tích dữ liệu.","CƠ SỞ DỮ LIỆU; SQL; SỬ DỤNG CÁC CÔNG CỤ THỐNG KÊ VÀ TRUY VẤN; CÔNG CỤ TRỰC QUAN HÓA; NGÔN NGỮ LẬP TRÌNH; KIẾN THỨC VỀ TOÁN HỌC, THỐNG KÊ VÀ KHAI PHÁ DỮ LIỆU; HIỂU RÕ VỀ CÁC MÔ HÌNH DỮ LIỆU, THUẬT TOÁN, KỸ THUẬT CHUYỂN ĐỔI DỮ LIỆU; GIẢI PHÁP BI; HADOOP; PHÂN TÍCH LOGIC; KỸ NĂNG GIAO TIẾP VÀ DIỄN GIẢI DỮ LIỆU; KỸ NĂNG QUAN SÁT, TƯ DUY LOGIC VÀ PHÂN TÍCH; GIẢI QUYẾT VẤN ĐỀ VÀ LÀM VIỆC NHÓM; QUẢN LÝ THỜI GIAN VÀ TỔ CHỨC CÔNG VIỆC",4:faea6990-b4df-4778-b420-d71faa741085:1076; 4:faea6990-b4df-4778-b420-d71faa741085:230; 4:faea6990-b4df-4778-b420-d71faa741085:245; 4:faea6990-b4df-4778-b420-d71faa741085:247; 4:faea6990-b4df-4778-b420-d71faa741085:246; 4:faea6990-b4df-4778-b420-d71faa741085:248; 4:faea6990-b4df-4778-b420-d71faa741085:255; 4:faea6990-b4df-4778-b420-d71faa741085:1074; 4:faea6990-b4df-4778-b420-d71faa741085:1077; 4:faea6990-b4df-4778-b420-d71faa741085:1079; 4:faea6990-b4df-4778-b420-d71faa741085:250; 4:faea6990-b4df-4778-b420-d71faa741085:249; 4:faea6990-b4df-4778-b420-d71faa741085:251; 4:faea6990-b4df-4778-b420-d71faa741085:252,,,9; 18,CAR-Chuyên viên dữ liệu,Quybui,"Các nodes có label ""SKILL""  gần với node ""PHÂN TÍCH DỮ LIỆU"" và ""CHUYÊN VIÊN DỮ LIỆU""",
q003,Lập trình game là tự học hay theo chuyên ngành nào thế có phải công nghệ đa phương tiện k ạ,multi_hop,"Lập trình game có thể được học qua các chuyên ngành như công nghệ thông tin (mã ngành: 7480201), khoa học máy tính (mã ngành: 7480101), công nghệ đa phương tiện, máy tính & khoa học thông tin, và mỹ thuật đa phương tiện.",CÔNG NGHỆ THÔNG TIN; CÔNG NGHỆ ĐA PHƯƠNG TIỆN; MÁY TÍNH & KHOA HỌC THÔNG TIN; MỸ THUẬT ĐA PHƯƠNG TIỆN; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; KHÓA LUẬN TỐT NGHIỆP NGÀNH CÔNG NGHỆ THÔNG TIN; PHÂN TÍCH VÀ THIẾT KẾ THUẬT TOÁN; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; HỆ QUẢN TRỊ CƠ SỞ DỮ LIỆU; LẬP TRÌNH GAME; CHUYÊN ĐỀ THỰC TẾ NGÀNH KHOA HỌC MÁY TÍNH,4:faea6990-b4df-4778-b420-d71faa741085:89; 4:faea6990-b4df-4778-b420-d71faa741085:302; 4:faea6990-b4df-4778-b420-d71faa741085:303; 4:faea6990-b4df-4778-b420-d71faa741085:304; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:461; 4:faea6990-b4df-4778-b420-d71faa741085:15; 4:faea6990-b4df-4778-b420-d71faa741085:90; 4:faea6990-b4df-4778-b420-d71faa741085:4; 4:faea6990-b4df-4778-b420-d71faa741085:301; 4:faea6990-b4df-4778-b420-d71faa741085:1417,LẬP TRÌNH GAME; CÔNG NGHỆ ĐA PHƯƠNG TIỆN,1,,CAR-Lập trình game,Quybui,Câu hỏi định hướng ngành học cho nghề lập trình game,
q004,Em học lập trình nhúng cơ hội việc làm cao không ạ,single_hop,"Học lập trình nhúng có thể mang lại nhiều cơ hội việc làm, đặc biệt là trong lĩnh vực Công nghệ thông tin (mã ngành: 7480201). Ngành này cung cấp nhiều môn học liên quan như Xử lý ảnh (mã môn: CNTT1166), Phát triển ứng dụng di động (mã môn: CNTT1157), và Kiểm thử tự động (mã môn: CNTT1159), giúp bạn trang bị những kiến thức và kỹ năng cần thiết.
Ngoài ra, để thành công trong nghề lập trình nhúng, bạn cần thành thạo các ngôn ngữ lập trình như Java, Python, C#, JavaScript và sử dụng tốt các công cụ/framework kiểm thử như Selenium, Appium, JMeter, Katalon.
Với những kỹ năng này, bạn sẽ có nhiều cơ hội việc làm trong ngành lập trình nhúng.",CÔNG NGHỆ THÔNG TIN; KHOA HỌC MÁY TÍNH; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; MẠNG KẾT NỐI VẠN VẬT; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; LẬP TRÌNH HƯỚNG ĐỐI TƯỢNG; CÁC CÔNG NGHỆ HIỆN ĐẠI TRONG CNTT; MẠNG MÁY TÍNH VÀ TRUYỀN SỐ LIỆU; QUẢN TRỊ MẠNG; TIẾNG ANH CHUYÊN NGÀNH,4:faea6990-b4df-4778-b420-d71faa741085:89; 4:faea6990-b4df-4778-b420-d71faa741085:105; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:20; 4:faea6990-b4df-4778-b420-d71faa741085:90; 4:faea6990-b4df-4778-b420-d71faa741085:94; 4:faea6990-b4df-4778-b420-d71faa741085:100; 4:faea6990-b4df-4778-b420-d71faa741085:3; 4:faea6990-b4df-4778-b420-d71faa741085:6; 4:faea6990-b4df-4778-b420-d71faa741085:8,LẬP TRÌNH NHÚNG,,,CAR-Lập trình nhúng,Quybui,,
q005,Mn cho em xin ý kiến ngành khoa học máy tính và công nghệ thông tin với ngành nào thì cơ hội tìm việc làm cao hơn ạ,multi_hop,"Ngành khoa học máy tính (7480101) có cơ hội nghề nghiệp cao hơn so với ngành công nghệ thông tin (7480201). Cụ thể, khoa học máy tính dẫn đến các nghề như lập trình viên, kỹ sư phần mềm và kiểm thử tự động, trong khi công nghệ thông tin cũng có các nghề tương tự nhưng ít đa dạng hơn.
Về môn học, khoa học máy tính cung cấp các môn như nhập môn công nghệ thông tin (CNTT1116), lập trình hướng đối tượng (CNTT1131), và phân tích và thiết kế hệ thống (CNTT1117). Những môn học này giúp sinh viên trang bị kiến thức và kỹ năng cần thiết cho các vị trí công việc trong lĩnh vực công nghệ.
Nếu bạn đang cân nhắc giữa hai ngành này, khoa học máy tính có vẻ là lựa chọn tốt hơn về mặt cơ hội nghề nghiệp.",KHOA HỌC MÁY TÍNH; CÔNG NGHỆ THÔNG TIN; KỸ THUẬT PHẦN MỀM; PHÂN TÍCH VÀ THIẾT KẾ HỆ THỐNG; TIẾNG ANH CHUYÊN NGÀNH; MẠNG KẾT NỐI VẠN VẬT; THIẾT KẾ WEB; PHÂN TÍCH VÀ THIẾT KẾ THUẬT TOÁN; NHẬP MÔN CÔNG NGHỆ THÔNG TIN; LẬP TRÌNH PYTHON; HỆ QUẢN TRỊ CƠ SỞ DỮ LIỆU; KIỂM THỬ TỰ ĐỘNG,4:faea6990-b4df-4778-b420-d71faa741085:105; 4:faea6990-b4df-4778-b420-d71faa741085:89; 4:faea6990-b4df-4778-b420-d71faa741085:159; 4:faea6990-b4df-4778-b420-d71faa741085:7; 4:faea6990-b4df-4778-b420-d71faa741085:8; 4:faea6990-b4df-4778-b420-d71faa741085:20; 4:faea6990-b4df-4778-b420-d71faa741085:111; 4:faea6990-b4df-4778-b420-d71faa741085:15; 4:faea6990-b4df-4778-b420-d71faa741085:90; 4:faea6990-b4df-4778-b420-d71faa741085:12; 4:faea6990-b4df-4778-b420-d71faa741085:4; 4:faea6990-b4df-4778-b420-d71faa741085:215,KHOA HỌC MÁY TÍNH; CÔNG NGHỆ THÔNG TIN,1,,CUR-CTĐT ngành Công nghệ thông tin; CUR-CTĐT ngành Khoa học máy tính,Quybui,,
q006,Cho em hỏi giờ em muốn làm data engineer thì cẩn những gì vậy ạ với nghề đó có nhiều cơ hội kh ạ,multi_hop,"Để trở thành một data engineer, bạn cần trang bị một số kỹ năng quan trọng như:
Kỹ năng giao tiếp.
Hiểu rõ về các mô hình dữ liệu, thuật toán, kỹ thuật chuyển đổi dữ liệu.
Có kinh nghiệm liên quan đến các giải pháp BI và ETL.
Có kinh nghiệm liên quan đến kho dữ liệu, các công cụ phân tích.
Có kiến thức, sử dụng được những công cụ chuyên dụng như hadoop, kafka.
Cần biết sử dụng các công cụ liên quan đến thiết kế, xây dựng kho dữ liệu.
Cần biết sử dụng sql.
Kỹ năng phân tích logic.
Kỹ năng thiết kế và trình bày báo cáo.
Về cơ hội nghề nghiệp, ngành data engineer hiện đang có nhiều cơ hội phát triển do nhu cầu ngày càng tăng trong việc xử lý và phân tích dữ liệu trong các tổ chức.",CHUYÊN VIÊN DỮ LIỆU; CƠ SỞ DỮ LIỆU; KỸ NĂNG GIAO TIẾP; LẬP TRÌNH VIÊN; KỸ SƯ PHẦN MỀM; SYSTEM ADMIN; KHÓA LUẬN TỐT NGHIỆP; CHUYÊN ĐỀ THỰC TẾ,4:faea6990-b4df-4778-b420-d71faa741085:225; 4:faea6990-b4df-4778-b420-d71faa741085:1076; 4:faea6990-b4df-4778-b420-d71faa741085:237; 4:faea6990-b4df-4778-b420-d71faa741085:119; 4:faea6990-b4df-4778-b420-d71faa741085:293; 4:faea6990-b4df-4778-b420-d71faa741085:319; 4:faea6990-b4df-4778-b420-d71faa741085:478; 4:faea6990-b4df-4778-b420-d71faa741085:1751,DATA ENGINEER,1,,CAR-Data Engineer,Quybui,,
q008,Em mạnh về phân tích dữ liệu nhưng không thích lập trình thì phù hợp nghề nào?,global,"Nếu bạn mạnh về phân tích dữ liệu nhưng không thích lập trình, bạn có thể xem xét các nghề nghiệp như:
Chuyên viên dữ liệu - nghề này yêu cầu kỹ năng phân tích dữ liệu.
Data analyst - cũng là một lựa chọn phù hợp với kỹ năng phân tích dữ liệu.
Kế toán quản trị - nghề này yêu cầu sử dụng thành thạo các phần mềm kế toán và phần mềm phân tích dữ liệu
Ngoài ra, bạn có thể tham khảo môn học phân tích dữ liệu (mã môn: TKKT1124) để nâng cao kiến thức của mình trong lĩnh vực này.",KẾ TOÁN QUẢN TRỊ; KIỂM THỬ TỰ ĐỘNG; DATA ANALYST; TESTER; CHUYÊN VIÊN DỮ LIỆU; KỸ SƯ PHẦN MỀM; KỸ SƯ CẦU NỐI; CUSTOMER SUCCESS; CHUYÊN ĐỀ THỰC TẾ; KHÓA LUẬN TỐT NGHIỆP; KHOA HỌC MÁY TÍNH; CÔNG NGHỆ THÔNG TIN; AN TOÀN THÔNG TIN; PHÁT TRIỂN NGHỀ NGHIỆP NGÀNH DU LỊCH VÀ LỮ HÀNH; PHÂN TÍCH DỮ LIỆU 2; PHÂN TÍCH DỮ LIỆU 1; KHÓA LUẬN TỐT NGHIỆP NGÀNH CÔNG NGHỆ THÔNG TIN; THS. PHẠM THẢO; PHÂN TÍCH DỮ LIỆU; KHÓA LUẬN TỐT NGHIỆP - QUẢN TRỊ DỊCH VỤ DU LỊCH VÀ LỮ HÀNH,4:faea6990-b4df-4778-b420-d71faa741085:274; 4:faea6990-b4df-4778-b420-d71faa741085:215; 4:faea6990-b4df-4778-b420-d71faa741085:241; 4:faea6990-b4df-4778-b420-d71faa741085:330; 4:faea6990-b4df-4778-b420-d71faa741085:225; 4:faea6990-b4df-4778-b420-d71faa741085:293; 4:faea6990-b4df-4778-b420-d71faa741085:284; 4:faea6990-b4df-4778-b420-d71faa741085:236; 4:faea6990-b4df-4778-b420-d71faa741085:820; 4:faea6990-b4df-4778-b420-d71faa741085:2887; 4:faea6990-b4df-4778-b420-d71faa741085:105; 4:faea6990-b4df-4778-b420-d71faa741085:89; 4:faea6990-b4df-4778-b420-d71faa741085:1; 4:faea6990-b4df-4778-b420-d71faa741085:5122; 4:faea6990-b4df-4778-b420-d71faa741085:578; 4:faea6990-b4df-4778-b420-d71faa741085:565; 4:faea6990-b4df-4778-b420-d71faa741085:461; 4:faea6990-b4df-4778-b420-d71faa741085:404; 4:faea6990-b4df-4778-b420-d71faa741085:188; 4:faea6990-b4df-4778-b420-d71faa741085:2831,,,1; 6; 7; 9; 10; 14; 16; 19; 20; 21,SYL-Phân tích dữ liệu lớn_TKKD1127; SYL-Phân tích dữ liệu_TKKT1124; CAR-Data Analyst,Quybui,"Trong các nodes có lable ""CAREER"" ở gần với node ""PHÂN TÍCH DỮ LIỆU"", chọn các ""CAREER"" không cần hoặc ít dùng tới lập trình",
q010,Nghề lập trình game có áp lực không,single_hop,"Nghề lập trình game có thể có áp lực, đặc biệt là trong việc đáp ứng các yêu cầu về kỹ năng và sáng tạo. Để thành công trong lĩnh vực này, bạn cần có các kỹ năng như sáng tạo và tư duy logic, kỹ năng lập trình, và kỹ năng giải quyết vấn đề.
Nếu bạn quan tâm đến việc học tập trong lĩnh vực này, có thể tham khảo môn học công nghệ đa phương tiện (mã môn: CNTT1149) để trang bị kiến thức cần thiết cho nghề lập trình game.",LẬP TRÌNH GAME; KỸ NĂNG GIẢI QUYẾT VẤN ĐỀ; KỸ NĂNG LẬP TRÌNH; TOÁN HỌC VÀ VẬT LÝ; SÁNG TẠO VÀ TƯ DUY LOGIC; MÁY TÍNH & KHOA HỌC THÔNG TIN; MỸ THUẬT ĐA PHƯƠNG TIỆN; KỸ NĂNG QUẢN LÝ THỜI GIAN; KỸ NĂNG GIAO TIẾP VÀ THUYẾT TRÌNH,4:faea6990-b4df-4778-b420-d71faa741085:301; 4:faea6990-b4df-4778-b420-d71faa741085:238; 4:faea6990-b4df-4778-b420-d71faa741085:305; 4:faea6990-b4df-4778-b420-d71faa741085:306; 4:faea6990-b4df-4778-b420-d71faa741085:307; 4:faea6990-b4df-4778-b420-d71faa741085:303; 4:faea6990-b4df-4778-b420-d71faa741085:304; 4:faea6990-b4df-4778-b420-d71faa741085:1099; 4:faea6990-b4df-4778-b420-d71faa741085:288,LẬP TRÌNH GAME,,,CAR-Lập trình game,Quybui,,
q011,Làm Data Analyst thì cần những kỹ năng gì?,global,"Để trở thành một data analyst, bạn cần trang bị cho mình một số kỹ năng quan trọng như sau:
Phân tích dữ liệu
Sử dụng các công cụ thống kê và truy vấn
Ngôn ngữ lập trình
Công cụ trực quan hóa
Kiến thức về toán học, thống kê và khai phá dữ liệu
Kỹ năng quan sát, tư duy logic và phân tích
Kỹ năng giao tiếp và diễn giải dữ liệu
Giải quyết vấn đề và làm việc nhóm
Quản lý thời gian và tổ chức công việc
Những kỹ năng này sẽ giúp bạn thực hiện tốt công việc của một data analyst. Chúc bạn thành công!","SỬ DỤNG CÁC CÔNG CỤ THỐNG KÊ VÀ TRUY VẤN; NGÔN NGỮ LẬP TRÌNH; CÔNG CỤ TRỰC QUAN HÓA; KIẾN THỨC VỀ TOÁN HỌC, THỐNG KÊ VÀ KHAI PHÁ DỮ LIỆU; KỸ NĂNG QUAN SÁT, TƯ DUY LOGIC VÀ PHÂN TÍCH; KỸ NĂNG GIAO TIẾP VÀ DIỄN GIẢI DỮ LIỆU; GIẢI QUYẾT VẤN ĐỀ VÀ LÀM VIỆC NHÓM.",4:faea6990-b4df-4778-b420-d71faa741085:245; 4:faea6990-b4df-4778-b420-d71faa741085:246; 4:faea6990-b4df-4778-b420-d71faa741085:247; 4:faea6990-b4df-4778-b420-d71faa741085:248; 4:faea6990-b4df-4778-b420-d71faa741085:249; 4:faea6990-b4df-4778-b420-d71faa741085:250; 4:faea6990-b4df-4778-b420-d71faa741085:251,,,7; 10; 16; 19; 22,SYL-Phân tích dữ liệu lớn_TKKD1127; SYL-Phân tích dữ liệu_TKKT1124; CAR-Data Analyst,Quybui,,
